,Actual,Predicted
235,169.0,166.59037525975026
236,182.0,165.4582917446284
237,161.5,158.6657906538972
238,174.0,171.49607049194503
239,154.0,161.68468002755552
240,179.0,166.59037525975026
241,163.0,166.96773643145755
242,153.3,159.49598523165324
243,172.0,167.34509760316485
244,169.0,169.98662580511586
245,173.0,169.6092646334086
246,155.0,159.4205129973118
247,165.0,163.19412471438469
248,178.0,174.51495986560334
249,165.0,166.59037525975026
250,160.0,164.62809716687238
251,162.0,164.5526249325309
252,153.0,160.55259651243367
253,170.0,170.74134814853045
254,157.5,167.72245877487214
255,163.0,163.19412471438469
256,166.0,165.4582917446284
257,144.0,160.55259651243367
258,172.0,165.08093057292112
259,161.0,166.59037525975026
260,161.5,164.70356940121383
261,179.0,162.4394023709701
262,152.0,163.94884705779924
263,161.0,161.68468002755552
264,167.0,162.21298566794573
265,154.5,165.4582917446284
266,167.0,166.213014088043
267,169.0,166.96773643145755
268,169.0,166.213014088043
269,176.0,163.19412471438469
270,146.0,161.30731885584822
271,165.0,166.47716690823808
272,169.0,160.92995768414096
273,173.0,162.8167635426774
274,153.3,157.91106831048262
275,159.0,167.1564170173112
276,159.2,166.59037525975026
277,158.0,161.68468002755552
278,154.5,159.0431518256045
279,165.0,165.4582917446284
280,150.5,161.57147167604333
281,168.0,165.4582917446284
282,175.0,169.6092646334086
283,150.0,157.2318182014095
284,147.0,162.62808295682373
285,169.1,160.55259651243367
286,182.0,161.68468002755552
287,172.0,162.8167635426774
288,159.0,160.55259651243367
289,159.0,160.92995768414096
290,155.0,159.4205129973118
291,176.0,162.0620411992628
292,160.0,170.7790842657012
293,173.0,168.85454228999401
294,163.0,159.79787416901908
295,152.0,160.92995768414096
296,154.0,159.4205129973118
297,153.0,163.19412471438469
298,150.0,160.55259651243367
299,173.0,167.34509760316485
300,145.0,158.6657906538972
301,155.5,160.28844369223856
302,179.0,170.36398697682316
303,172.0,168.85454228999401
304,162.0,162.8167635426774
305,147.0,164.70356940121383
306,174.0,163.94884705779924
307,156.5,165.9488612678479
308,164.1,164.70356940121383
309,171.0,167.72245877487214
310,161.0,161.68468002755552
311,154.0,162.4394023709701
312,174.0,160.17523534072637
313,164.0,164.70356940121383
314,182.0,177.15648806755436
315,145.0,155.30727622570234
316,158.0,157.91106831048262
317,161.0,161.30731885584822
318,169.0,164.70356940121383
319,169.0,166.96773643145755
320,173.0,161.68468002755552
321,173.0,158.6657906538972
322,160.0,161.1186382699946
323,175.0,158.6657906538972
324,158.5,159.4205129973118
325,171.0,173.38287635048147
326,178.0,168.09981994657943
327,162.3,162.8167635426774
328,170.0,166.59037525975026
329,146.0,155.6469012802389
330,142.5,155.72237351458037
331,147.0,163.94884705779924
332,164.0,169.2319034617013
333,183.0,168.09981994657943
334,162.0,158.6657906538972
335,177.0,166.59037525975026
336,154.0,159.6846658175069
337,153.0,164.70356940121383
338,153.0,163.0809163628725
339,151.0,160.92995768414096
340,154.0,162.4394023709701
341,170.0,168.09981994657943
342,163.0,161.68468002755552
343,156.0,163.57148588609198
344,152.0,161.760152261897
345,171.0,166.59037525975026
346,165.0,165.4582917446284
347,172.0,158.6657906538972
348,168.0,162.8167635426774
349,175.0,161.83562449623844
350,149.5,160.55259651243367
351,174.0,163.94884705779924
352,175.0,167.72245877487214
353,155.0,158.17522113067773
354,164.5,158.6657906538972
355,172.0,161.68468002755552
356,166.0,166.213014088043
357,154.0,161.30731885584822
358,170.0,159.4205129973118
359,176.0,170.74134814853045
360,187.0,163.94884705779924
361,158.2,157.3450265529217
362,171.0,166.59037525975026
363,176.0,173.00551517877417
364,151.5,159.0431518256045
365,174.0,160.92995768414096
366,164.0,164.32620822950653
367,160.0,161.68468002755552
368,184.0,165.08093057292112
369,165.0,160.55259651243367
370,158.0,159.0431518256045
371,157.0,157.64691549028754
372,166.0,162.4394023709701
373,174.0,168.47718111828672
374,154.0,162.0620411992628
375,162.0,172.25079283535962
376,158.0,166.213014088043
377,157.0,155.2695401085316
378,171.0,165.08093057292112
379,181.0,166.213014088043
380,169.0,162.4394023709701
381,160.2,162.8167635426774
382,151.0,158.43937395087283
383,149.0,159.3073046457996
384,175.0,172.62815400706688
385,169.0,168.47718111828672
386,168.0,164.70356940121383
387,152.0,161.04316603565314
388,158.0,159.0431518256045
389,164.0,158.55258230238502
390,175.0,164.32620822950653
391,156.0,162.8167635426774
392,163.0,160.7412770982873
393,171.0,166.96773643145755
394,173.0,161.68468002755552
395,151.0,160.36391592658
396,169.0,171.11870932023774
397,169.0,162.4394023709701
398,160.0,160.40165204375074
399,179.0,156.40162362365348
400,156.0,161.60920779321407
401,169.0,160.92995768414096
402,173.9,163.19412471438469
403,176.0,163.19412471438469
404,161.0,161.760152261897
405,167.0,177.91121041096892
406,175.0,171.49607049194503
407,177.0,168.47718111828672
408,168.0,164.32620822950653
409,160.8,162.8167635426774
410,177.0,168.09981994657943
411,158.7,162.4394023709701
412,157.0,169.6092646334086
413,161.0,166.59037525975026
414,170.0,170.74134814853045
415,147.5,171.49607049194503
416,154.0,158.6657906538972
417,158.2,169.98662580511586
418,171.0,163.94884705779924
419,164.0,159.0431518256045
420,143.8,158.5148461852143
421,169.1,162.0620411992628
422,184.0,175.6470433807252
423,160.0,159.38277688014105
424,172.0,170.74134814853045
425,163.0,159.53372134882397
426,159.0,160.55259651243367
427,161.0,162.4394023709701
428,175.0,169.6092646334086
429,177.0,168.09981994657943
430,157.0,166.59037525975026
431,172.0,170.36398697682316
432,184.0,166.59037525975026
433,175.0,173.00551517877417
434,157.0,160.77901321545804
435,156.0,163.15638859721395
436,173.0,166.96773643145755
437,155.0,161.1186382699946
438,193.0,167.72245877487214
439,171.0,160.92995768414096
440,171.0,161.68468002755552
441,177.0,159.0431518256045
442,159.0,172.17532060101814
443,175.0,167.34509760316485
444,165.4,160.92995768414096
445,171.0,168.09981994657943
446,153.5,169.98662580511586
447,182.0,172.62815400706688
448,159.0,169.2319034617013
449,175.0,170.36398697682316
450,151.0,161.68468002755552
451,170.0,168.47718111828672
452,187.0,174.13759869389605
453,172.0,166.213014088043
454,158.0,159.79787416901908
