,Actual,Predicted
78,176.0,165.90489817199042
79,168.0,160.1466601539004
80,158.0,157.04607045185196
81,162.5,162.80430846994196
82,170.0,165.90489817199042
83,156.0,160.58960153990733
84,164.0,169.00548787403886
85,171.0,170.33431203205964
86,175.0,161.91842569792811
87,178.0,181.85078806823967
88,169.0,161.47548431192118
89,157.0,160.1466601539004
90,164.0,163.6901912419558
91,164.0,170.33431203205964
92,179.0,167.6766637160181
93,174.0,161.47548431192118
94,171.0,162.80430846994196
95,156.0,158.3748946098727
96,166.0,163.6901912419558
97,173.0,171.2201948040735
98,176.0,164.1331326279627
99,154.0,164.2660150437648
100,158.0,161.03254292591424
101,148.0,155.71724629383118
102,156.3,154.3884221358104
103,166.0,169.00548787403886
104,164.0,163.6901912419558
105,177.0,167.6766637160181
106,149.0,162.36136708393502
107,168.0,157.04607045185196
108,165.0,162.71572019274058
109,153.0,162.84860260854265
110,167.0,160.58960153990733
111,179.0,171.66313619008042
112,157.0,163.6901912419558
113,172.0,170.77725341806658
114,144.0,162.80430846994196
115,168.0,161.47548431192118
116,161.5,161.51977845052187
117,167.0,173.4349017341081
118,164.0,163.6901912419558
119,154.2,160.1466601539004
120,151.2,161.03254292591424
121,162.0,173.87784312011505
122,164.0,163.6901912419558
123,166.0,158.81783599587965
124,173.0,163.24724985594887
125,186.0,172.9919603481012
126,171.0,178.7501983661912
127,167.0,159.26077738188656
128,158.0,156.24877595703947
129,149.0,157.9319532238658
130,159.7,158.81783599587965
131,171.0,165.90489817199042
132,164.0,158.81783599587965
133,164.0,163.6901912419558
134,170.0,162.80430846994196
135,153.0,158.3748946098727
136,152.0,160.1466601539004
137,156.0,161.16542534171634
138,159.0,162.80430846994196
139,154.0,163.29154399454956
140,168.0,169.4484292600458
141,174.0,174.7637258921289
142,164.0,163.6901912419558
143,152.0,160.1466601539004
144,170.0,168.56254648803196
145,150.5,160.58960153990733
146,159.0,167.6766637160181
147,175.0,169.4484292600458
148,168.0,169.00548787403886
149,160.0,159.7037187678935
150,170.0,169.89137064605274
151,144.0,153.7240100568
152,173.0,162.80430846994196
153,161.0,161.91842569792811
154,164.0,163.6901912419558
155,170.0,162.80430846994196
156,175.0,164.1331326279627
157,158.0,175.64960866414273
158,164.0,163.6901912419558
159,153.0,157.48901183785887
160,175.0,171.66313619008042
161,175.0,166.34783955799733
162,170.0,172.9919603481012
163,171.0,168.11960510202502
164,156.0,171.66313619008042
165,162.5,164.57607401396965
166,165.0,168.11960510202502
167,169.0,163.6901912419558
168,151.0,157.8433649466644
169,156.0,161.91842569792811
170,158.0,163.55730882615373
171,160.0,168.56254648803196
172,184.0,168.11960510202502
173,166.0,161.91842569792811
174,164.0,163.6901912419558
175,159.0,167.94242854762226
176,173.0,166.79078094400427
177,169.0,160.58960153990733
178,174.0,166.79078094400427
179,178.0,172.10607757608733
180,157.0,158.19771805546995
181,175.0,165.01901539997658
182,164.0,163.6901912419558
183,178.0,173.87784312011505
184,170.0,163.24724985594887
185,155.0,158.81783599587965
186,181.0,173.4349017341081
187,151.5,158.86213013448034
188,166.8,164.57607401396965
189,164.0,163.6901912419558
190,165.0,168.56254648803196
191,163.2,164.1331326279627
192,170.0,180.96490529622582
193,178.0,165.01901539997658
194,154.0,154.78706938321665
195,172.0,162.80430846994196
196,163.0,169.00548787403886
197,152.0,160.1466601539004
198,163.0,166.34783955799733
199,181.0,174.7637258921289
200,167.0,161.91842569792811
201,165.0,164.57607401396965
202,168.0,169.89137064605274
203,161.0,161.91842569792811
204,166.0,164.57607401396965
205,164.0,163.6901912419558
206,168.0,171.2201948040735
207,170.0,175.64960866414273
208,159.0,164.1331326279627
209,161.0,166.7021926668029
210,178.0,162.80430846994196
211,177.0,165.01901539997658
212,178.0,162.36136708393502
213,173.0,167.23372233001118
214,173.0,167.23372233001118
215,151.0,160.1466601539004
216,149.5,156.1601876798381
217,174.0,165.01901539997658
218,173.0,160.58960153990733
219,169.0,162.80430846994196
220,157.0,157.53330597645956
221,179.0,173.4349017341081
222,177.0,176.53549143615658
223,171.0,164.57607401396965
224,151.0,166.6578985282022
225,164.0,163.82307365775787
226,175.0,164.1331326279627
227,152.0,153.9454807498035
228,164.0,163.6901912419558
229,163.5,159.7037187678935
230,163.5,167.23372233001118
231,154.0,159.43795393628932
232,173.0,159.26077738188656
233,157.0,158.81783599587965
234,169.0,161.47548431192118
235,169.0,167.23372233001118
236,182.0,165.90489817199042
237,161.5,157.9319532238658
238,174.0,172.9919603481012
239,154.0,161.47548431192118
240,164.0,163.6901912419558
241,163.0,167.6766637160181
242,153.3,158.90642427308103
243,172.0,168.11960510202502
244,169.0,171.2201948040735
245,173.0,170.77725341806658
246,155.0,158.81783599587965
247,165.0,163.24724985594887
248,178.0,176.53549143615658
249,165.0,167.23372233001118
250,160.0,164.93042712277517
251,162.0,164.8418388455738
252,153.0,160.1466601539004
253,170.0,172.10607757608733
254,157.5,168.56254648803196
255,163.0,163.24724985594887
256,166.0,165.90489817199042
257,144.0,160.1466601539004
258,172.0,165.4619567859835
259,164.0,163.6901912419558
260,161.5,165.01901539997658
261,179.0,162.36136708393502
262,152.0,164.1331326279627
263,161.0,161.47548431192118
264,167.0,162.09560225233088
265,164.0,163.6901912419558
266,164.0,163.6901912419558
267,169.0,167.6766637160181
268,169.0,166.79078094400427
269,176.0,163.24724985594887
270,146.0,161.03254292591424
271,164.0,163.6901912419558
272,169.0,160.58960153990733
273,173.0,162.80430846994196
274,164.0,163.6901912419558
275,159.0,167.89813440902157
276,159.2,167.23372233001118
277,158.0,161.47548431192118
278,154.5,158.3748946098727
279,165.0,165.90489817199042
280,150.5,161.3426018961191
281,168.0,165.90489817199042
282,175.0,170.77725341806658
283,150.0,156.24877595703947
284,164.0,163.6901912419558
285,164.0,163.6901912419558
286,182.0,161.47548431192118
287,172.0,162.80430846994196
288,159.0,160.1466601539004
289,164.0,163.6901912419558
290,155.0,158.81783599587965
291,176.0,161.91842569792811
292,160.0,172.15037171468805
293,173.0,169.89137064605274
294,163.0,159.26077738188656
295,152.0,160.58960153990733
296,154.0,158.81783599587965
297,153.0,163.24724985594887
298,150.0,160.1466601539004
299,173.0,168.11960510202502
300,145.0,157.9319532238658
301,155.5,159.83660118369556
302,179.0,171.66313619008042
303,172.0,169.89137064605274
304,162.0,162.80430846994196
305,147.0,165.01901539997658
306,174.0,164.1331326279627
307,156.5,166.4807219737994
308,164.1,165.01901539997658
309,171.0,168.56254648803196
310,161.0,161.47548431192118
311,154.0,162.36136708393502
312,174.0,159.7037187678935
313,164.0,165.01901539997658
314,182.0,179.63608113820504
315,145.0,153.98977488840418
316,158.0,157.04607045185196
317,161.0,161.03254292591424
318,169.0,165.01901539997658
319,169.0,167.6766637160181
320,173.0,161.47548431192118
321,164.0,163.6901912419558
322,160.0,160.8110722329108
323,164.0,163.6901912419558
324,158.5,158.81783599587965
325,171.0,175.2066672781358
326,178.0,169.00548787403886
327,162.3,162.80430846994196
328,170.0,167.23372233001118
329,146.0,154.3884221358104
330,142.5,154.47701041301178
331,147.0,164.1331326279627
332,164.0,170.33431203205964
333,183.0,169.00548787403886
